SRA	LibraryLayout	Method	TF geneid	TF name	TF Family	Sample	Condition	Tissue	Rep	Include	PMID
SRR999065	Single	ChIP	Zm00001d020430	RA1	C2H2	RA1_tassel_YFP	TF	Tassel	R1	Yes	24307553
SRR999066	Single	ChIP	Zm00001d020430	RA1	Control	Control_RA1_tassel_HA	Control	Tassel	R1	Yes	24307553
SRR999067	Single	ChIP	Zm00001d020430	RA1	Control	Control_RA1_tassel_YFP	Control	Tassel	R1	Yes	24307553
SRR999068	Single	ChIP	Zm00001d020430	RA1	C2H2	RA1_ear_HA	TF	Ear	R1	Yes	24307553
SRR999069	Single	ChIP	Zm00001d020430	RA1	C2H2	RA1_ear_YFP	TF	Ear	R1	Yes	24307553
SRR999070	Single	ChIP	Zm00001d020430	RA1	Control	Control_RA1_ear_HA	Control	Ear	R1	Yes	24307553
SRR999071	Single	ChIP	Zm00001d020430	RA1	Control	Control_RA1_ear_YFP	Control	Ear	R1	Yes	24307553
SRR8502757	Single	ChIP	Zm00001d033673	TB1	Control	Control_TB1_R1	Control	Buds	R1	Yes	31444327
SRR8502758	Single	ChIP	Zm00001d033673	TB1	Control	Control_TB1_R2	Control	Buds	R2	Yes	31444327
SRR8502759	Single	ChIP	Zm00001d033673	TB1	TCP	TB1_R1	TF	Buds	R1	Yes	31444327
SRR8502760	Single	ChIP	Zm00001d033673	TB1	TCP	TB1_R2	TF	Buds	R2	Yes	31444327
SRR504830	Single	ChIP	Zm00001d028854	P1	MYB	P1_R1	TF	Pericarp	R1	Yes	22822204
SRR504831	Single	ChIP	Zm00001d028854	P1	MYB	Control_P1_R1	Control	Pericarp	R1	Yes	22822204
SRR504832	Single	ChIP	Zm00001d028854	P1	MYB	P1_R2	TF	Pericarp	R2	Yes	22822204
SRR504833	Single	ChIP	Zm00001d028854	P1	MYB	Control_P1_R2	Control	Pericarp	R2	Yes	22822204
